CÓDIGO;DESCRIPCION;NORMA;ACREDITADO;REFERENCIA OTRA NORMA;UBICACIÓN;PRECIO;TIEMPO;COMENTARIOS
PAV01;Medida de la Irregularidad superficial de un pavimento con el Rugosímetro Merlín.;MTC E 1001;NO;-;CAMPO;2400;1 dia;* Rendimiento por dia 4Km, costo oor dia 4*600 = 2400                                                                                                                                                                                                                                                                                                           * Cantidad de personal 2 
PAV02;Medida de la deflexión de un pavimento flexible (Viga Benkelman).;MTC E 1002;NO;-;CAMPO;2500;1 dia;* Rendimiento por dia 3Km,, Costo Por Dia 3*750 = 2250                                                                                                                                                                                                                                                                                                      * Se requiere que el cliente proporcione volquete 8,2 Ton cargado                                                                                                                                                                                                                                                                     * Cantidad de personal 2 
PAV02A;Medida de la deflexión de un pavimento flexible (Viga Benkelman) Inc. Camión.;MTC E 1002;NO;-;CAMPO;4500;1 dia;* Geofal proporcionara un volquete 8,2 Ton cargado Costo 2000 Soles aprox, sujeto a evaluacion del proveedor por la ubicación
PAV03;Determinacion del Coeficiente de Resistencia al Deslizamiento (Péndulo).;MTC E 1004;NO;-;CAMPO;150;1 dia;* Puntos minimos 4 und (Tiempo 1 horas en obra)                                                                                                                                                                                                                                                                                                                   * Tiempo por punto 20 minutos
PAV04;Determinación la Textura Superficial del Pavimento (Círculo de Arena).;MTC E 1005;NO;-;CAMPO;80;1 dia;* Puntos minimos 6 und (Tiempo 2 horas en obra)                                                                                                                                                                                                                                                                                                                   * Tiempo por punto 20 minutos
PAV05;Tasa de Imprimación y Riego de Liga.;-;NO;-;CAMPO;80;1 dia;* Puntos minimos 4 und (Tiempo 1 horas en obra)                                                                                                                                                                                                                                                                                                                   * Esto dependera en que tiempo se realizara el riego consultar al cliente
PAV06;Espesor de especímenes de mezcla asfálticas compactado.;MTC E 507;NO;-;LABORATORIO;50;1 dia;
PAV07;Peso específico y peso unitario de mezcla asfálticas compactado en especímenes saturados con superficie seca. Elaboracion 3 briquetas;MTC E 514;NO;-;LABORATORIO;270;1 dia;Geofal realiza las briquetes, con 3 especimenes
PAV08;Determinación de la resistencia de mezclas bituminosas empleando el aparato Marshall, incluye peso específico (3 briquetas), ;MTC E 504;NO;-;LABORATORIO;540;3 dias;Cliente proporcionara ensayo Rice.
PAV09;Extraccíón cuantitativa de asfalto en mezclas para pavimentos                            (Lavado asfaltico), incl. Granulometría.;ASTM D 2172;NO;-;LABORATORIO;450;3 dias;El cliente proporcionara un especimen de 20*20cm o  cuando se hace control en faja en la planta
PAV10;Grado de compactación de una mezcla Bituminosa.;MTC E 509;NO;-;LABORATORIO;70;1 dia;Densidad de la briqueta                                                                                                                              El cliente proporcionara el peso especifico BULK                                                                                    Minimo 6 briquetas                                                                                                                                               No incluye extraccion de diamantina 
PAV11;"Extracción de testigo diamantina con broca de 4"" en pavimento flexible.";NTP 339.059;NO;-;CAMPO;140;1 dia;* Puntos minimos 6 und (Tiempo 2,5 horas en obra)                                                                                                                                                                                                                                                                                                              * El Cliente Proporcionara Vigia  
PAV12;Resane en pavimento asfáltico;-;NO;-;CAMPO;50;1 dia;
